set,class,count
test,biker,1069
test,car,38463
test,pedestrian,6434
test,trafficLight,10349
test,truck,2095
train,biker,2144
train,car,71523
train,pedestrian,12038
train,trafficLight,19123
train,truck,4145
validation,biker,491
validation,car,17887
validation,pedestrian,3019
validation,trafficLight,4805
validation,truck,954
